subject,summary,press,wdate,link
"“안 그래도 경제 무너지는데”…초비상 걸린 금융당국, 일단 돈 풀어 급한 불 끈다","금융시장 충격 완화 대책 한은, RP 매입 전방위 확대 금융위원장 “환율변동 대응” 비상계엄 사태 여파에도 4일 증시나 외환시장의 변동.. 매일경제 | 2024-12-04 21:39:09",매일경제,2024-12-04 21:39:09,https://n.news.naver.com/mnews/article/009/0005408127
"""한국에 투자 안 해"" 계엄에 놀란 외국인 '국장' 떠나나",“이것은 잘못된 정치적 도박처럼 보인다. 나는 이런 불확실성 속에서 한국 (투자시장)에 합류하지 않을 것이다.”(싱가포르 야누스핸더슨 .. 이데일리 | 2024-12-04 18:53:18,이데일리,2024-12-04 18:53:18,https://n.news.naver.com/mnews/article/018/0005899151
빨간불 켜진 '밸류업'… 힘받던 금융주 주저앉았다,이틀 연속 오르던 코리아 밸류업 지수가 전날 비상계엄 선포 이후 약세로 돌아섰다. 하루 만에 10p가까이 빠져 970선으로 회귀했다. .. 파이낸셜뉴스 | 2024-12-04 18:35:18,파이낸셜뉴스,2024-12-04 18:35:18,https://n.news.naver.com/mnews/article/014/0005277404
"'6시간 계엄사태'에 증권가 ""정치 불확실성에 증시 변동성 당분간 확대""",윤석열 대통령이 촉발한 비상계엄 사태로 인해 국내 증시가 불확실성에 휩싸였다. 금융당국의 유동성 공급 조치 등으로 예상보다 낙폭은 작았.. 뉴스1 | 2024-12-04 18:12:37,뉴스1,2024-12-04 18:12:37,https://n.news.naver.com/mnews/article/421/0007946336
"‘셀코리아’ 다시 시작?…외인, 하루 만에 4200억 순매도[실패한 계엄령]",외국인 투자자가 전날 모처럼 대규모 ‘사자’에 나선 지 하루 만에 간밤의 비상계엄 선포 여파로 다시 '셀 코리아'로 돌아섰다. 전문가들.. 데일리안 | 2024-12-04 18:09:12,데일리안,2024-12-04 18:09:12,https://n.news.naver.com/mnews/article/119/0002900285
안 그래도 '강달러'인데 계엄령까지…상단 열린 환율,윤석열 대통령의 비상계엄 선포 여파로 원·달러 환율이 급등하고 변동성이 확대되며 외환시장의 불안이 커지고 있다. 트럼프발(發) 정책 불.. 이데일리 | 2024-12-04 18:05:14,이데일리,2024-12-04 18:05:14,https://n.news.naver.com/mnews/article/018/0005899115
최악 면했지만… `尹 리스크` 이제 시작[탄핵정국 대혼돈],"코스피 전일 대비 36.10p 급락 외인 순매도·환율 급등에 불안 ""내년 상반기까지 경제한파 지속"" 윤석열 대통령의 비상계엄 사태 이후.. 디지털타임스 | 2024-12-04 18:05:00",디지털타임스,2024-12-04 18:05:00,https://n.news.naver.com/mnews/article/029/0002920455
수출 부진·관세 리스크·탄핵 정국까지…K증시 '6重苦'에 빠졌다,윤석열 대통령의 비상계엄령 선포로 불거진 정국 혼란으로 국내 주식시장과 환율시장이 요동쳤다. 당분간 탄핵 정국 본격화에 따른 정치적 불.. 한국경제 | 2024-12-04 17:57:14,한국경제,2024-12-04 17:57:14,https://n.news.naver.com/mnews/article/015/0005065564
"한은, 2월말까지 유동성공급 작전 … 리스크 '불씨' 없앤다","금융시장 충격 완화 대책 원화값 7.2원 내린 1410.1원 코스피는 외국인매도 줄이어 충격 작았지만 부담은 여전 한은, RP 매입 전.. 매일경제 | 2024-12-04 17:47:14",매일경제,2024-12-04 17:47:14,https://n.news.naver.com/mnews/article/009/0005408033
"혼란의 코스피…""더 나올 악재 없다"" vs ""바닥 가늠 어렵다""",국내 증시에 커다란 변수가 등장했다. 윤석열 대통령의 계엄령 선포로 금융 시장이 휘청인 데 이어 탄핵 정국까지 본격화하고 있다. 전문가.. 한국경제 | 2024-12-04 17:45:18,한국경제,2024-12-04 17:45:18,https://n.news.naver.com/mnews/article/015/0005065541
